series,bin,mean_pred,frac_pos,count
raw,0,0.14454212308254538,0.0,93
raw,1,0.15218277413156855,0.03571428571428571,84
raw,2,0.1582488858686146,0.07766990291262135,103
raw,3,0.162914313064166,0.053763440860215055,93
raw,4,0.16983958288160186,0.10869565217391304,92
raw,5,0.17657334990337065,0.031914893617021274,94
raw,6,0.1846409271402888,0.16129032258064516,93
raw,7,0.1917798927443955,0.25,64
raw,8,0.19646922409306966,0.10526315789473684,114
raw,9,0.2035121588950296,0.2647058823529412,102
calibrated,0,0.0588235294117647,0.0,50
calibrated,1,0.06896551724137931,0.023809523809523808,126
calibrated,2,0.08333333333333333,0.07692307692307693,13
calibrated,3,0.09647060656773057,0.06561679790026247,381
calibrated,4,0.18227816254098245,0.17777777777777778,90
calibrated,5,0.24194910915420847,0.19852941176470587,272
