section,key,value,n,scope
scope,표본 범위,,0,학습·검증 표본 (실시간 자격 통과)
overall,n_sample,6406.0,6406,학습·검증 표본 (실시간 자격 통과)
overall,positive_rate,0.1039650327817671,666,학습·검증 표본 (실시간 자격 통과)
event_rate,ev_store,0.11660942866063066,747,학습·검증 표본 (실시간 자격 통과)
event_rate,ev_sales,0.1287855135810178,825,학습·검증 표본 (실시간 자격 통과)
event_rate,ev_contract,0.09850140493287543,631,학습·검증 표본 (실시간 자격 통과)
overlap,0_events,0.7460193568529504,4779,학습·검증 표본 (실시간 자격 통과)
overlap,1_events,0.17795816422104277,1140,학습·검증 표본 (실시간 자격 통과)
overlap,2_events,0.062129253824539495,398,학습·검증 표본 (실시간 자격 통과)
overlap,3_events,0.013893225101467375,89,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2018,0.11363636363636363,924,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2019,0.10995850622406639,964,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2020,0.11011904761904762,1008,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2021,0.08837209302325581,1075,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2022,0.11704834605597965,1179,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2023,0.08837579617834394,1256,학습·검증 표본 (실시간 자격 통과)
