section,key,value,n,scope
scope,표본 범위,,0,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overall,n_sample,9867.0,9867,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overall,positive_rate,0.11867842302624912,1171,라벨 산출 가능 전체 (실시간 자격 필터 이전)
event_rate,ev_store,0.12090807742981656,1193,라벨 산출 가능 전체 (실시간 자격 필터 이전)
event_rate,ev_sales,0.1452315800141887,1433,라벨 산출 가능 전체 (실시간 자격 필터 이전)
event_rate,ev_contract,0.1162460727678119,1147,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,0_events,0.7192662410053714,7097,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,1_events,0.19438532482010742,1918,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,2_events,0.07104489713185365,701,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,3_events,0.015303537042667478,151,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2017,0.1332752613240418,1148,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2018,0.1182108626198083,1252,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2019,0.12267080745341614,1288,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2020,0.1232876712328767,1314,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2021,0.1155137676292814,1489,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2022,0.11975308641975309,1620,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2023,0.10478359908883828,1756,라벨 산출 가능 전체 (실시간 자격 필터 이전)
