model,split,lift_at_10,precision_at_10,pr_auc,roc_auc,brier,n,base_rate
persistence,train,1.942935324284653,0.2040302267002519,0.16147691278289436,0.5906524077305404,0.10719350281703735,3971,0.10501133215814656
single,train,1.990909035995385,0.20906801007556675,0.1682011381687973,0.6232319715415062,0.2267241629417406,3971,0.10501133215814656
logistic,train,2.3986855855366085,0.2518891687657431,0.21481017650943093,0.7092876064933084,0.21886896743660111,3971,0.10501133215814656
lgbm,train,4.149726062978332,0.4357682619647355,0.4385902285210574,0.8643997576277751,0.17042709142979687,3971,0.10501133215814656
persistence,valid,2.117614269788183,0.24786324786324787,0.208365727027222,0.5791497862980134,0.11339540392604507,1179,0.11704834605597965
single,valid,2.701783723522854,0.3162393162393162,0.24452366752195068,0.6892411143131604,0.2281356158208429,1179,0.11704834605597965
logistic,valid,2.4827201783723525,0.2905982905982906,0.2709125800469817,0.7344039315596764,0.2083633464924816,1179,0.11704834605597965
lgbm,valid,2.993868450390189,0.3504273504273504,0.2805375913765623,0.7662434392793998,0.19035241185907645,1179,0.11704834605597965
persistence,test,1.1767927927927928,0.104,0.10104186725244862,0.508017624611511,0.10139750809195965,1256,0.08837579617834394
single,test,1.6294054054054055,0.144,0.13744459754891852,0.5669027105708329,0.23823393508618135,1256,0.08837579617834394
logistic,test,2.2630630630630635,0.2,0.17202935419467694,0.7030252960383965,0.19183522876906797,1256,0.08837579617834394
lgbm,test,2.0820180180180183,0.184,0.16842628543046878,0.6882882882882883,0.18954159865110648,1256,0.08837579617834394
lgbm_calibrated,train,4.149726062978332,0.4357682619647355,0.4385902285210574,0.8643997576277751,0.0760173439986774,3971,0.10501133215814656
lgbm_calibrated,valid,2.993868450390189,0.3504273504273504,0.2805375913765623,0.7662434392793998,0.09161725066842215,1179,0.11704834605597965
lgbm_calibrated,test,2.0820180180180183,0.184,0.16842628543046878,0.6882882882882883,0.08042410477699861,1256,0.08837579617834394
