brand_id,year,brand_name,industry_major,industry_mid,n_stores,deterioration_1y,score_raw,deterioration_step,deterioration_rank_pct,brand_state,n_events_at_t,in_model_population,risk_grade,grade,factor1,factor1_shap,factor2,factor2_shap,factor3,factor3_shap
BRD_20211457,2024,냉돈창고-냉면과돈까스가맛있는집,외식,기타 외식,8.0,0.428823158479371,0.7919652416322882,0.42857142857142855,1.0,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.36725,[구조] 지역당 평균 점포수,0.25742,[변화] 점포 증가율,0.21008
BRD_20213402,2024,바른국밥,외식,한식,19.0,0.42882081680580875,0.7904539630726213,0.42857142857142855,0.999601593625498,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.4318,[구조] 지역당 평균 점포수,0.26527,[변화] 점포 증가율,0.24663
BRD_20220732,2024,98도씨 국밥,외식,기타 외식,39.0,0.4288184751322465,0.7868457227608765,0.42857142857142855,0.999203187250996,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.42573,[변화] 점포 증가율,0.18135,[추세] 면적당매출 평균,0.16781
BRD_20200116,2024,해밍턴부대찌개곱창전골,외식,한식,10.0,0.42881613345868425,0.7854480405742086,0.42857142857142855,0.998804780876494,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.39036,[구조] 지역당 평균 점포수,0.2593,[변화] 점포 증가율,0.23832
BRD_20210937,2024,진탱 불곱창&불닭발,외식,한식,25.0,0.428813791785122,0.7829132753592599,0.42857142857142855,0.998406374501992,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.38712,[구조] 지역당 평균 점포수,0.25099,[변화] 점포 증가율,0.16267
BRD_20210428,2024,덮밥.ZIP,외식,한식,34.0,0.42881145011155974,0.782489094612195,0.42857142857142855,0.99800796812749,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.577,[변화] 점포 증가율,0.27095,[구조] 지역당 평균 점포수,0.17375
BRD_20210593,2024,크로앙쥬,외식,제과제빵,21.0,0.42880910843799747,0.7822078596880119,0.42857142857142855,0.9976095617529881,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.42411,[변화] 점포 증가율,0.30113,[구조] 지역당 평균 점포수,0.29344
BRD_20180394,2024,잇또라멘,도소매,기타도소매,6.0,0.42880676676443524,0.7814098570174856,0.42857142857142855,0.997211155378486,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.38702,[구조] 지역당 평균 점포수,0.25591,[변화] 점포 증가율,0.25467
BRD_20211096,2024,해장쿡,외식,한식,11.0,0.42880442509087296,0.7777293993164555,0.42857142857142855,0.9968127490039841,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40396,[변화] 점포 증가율,0.28164,[구조] 지역당 평균 점포수,0.27115
BRD_20160024,2024,퀸즈브라운,외식,커피,1.0,0.42880208341731074,0.7751654091151869,0.42857142857142855,0.996414342629482,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.3712,[구조] 지역당 평균 점포수,0.30469,[변화] 점포 증가율,0.28906
BRD_20211363,2024,퍼스트커피,외식,커피,27.0,0.42879974174374846,0.7751075436810826,0.42857142857142855,0.9960159362549801,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44111,[변화] 점포 증가율,0.27754,[구조] 지역당 평균 점포수,0.17299
BRD_20211154,2024,죽도령,외식,한식,54.0,0.42879740007018624,0.7749210001880492,0.42857142857142855,0.9956175298804781,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.46007,[변화] 점포 증가율,0.21779,[업종상대] 실질 매출 증가율 백분위,0.12976
BRD_20080100142,2024,스킨푸드,도소매,화장품,10.0,0.42879505839662396,0.7730992437551013,0.42857142857142855,0.9952191235059761,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.39932,[구조] 지역당 평균 점포수,0.28557,[변화] 점포 증가율,0.20619
BRD_20190838,2024,원래는 치킨집을 할려고 했었다,외식,분식,20.0,0.4287927167230617,0.772906227392716,0.42857142857142855,0.9948207171314741,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.46059,[변화] 점포 증가율,0.26662,[추세] 점포 증가율 평균,0.20025
BRD_20211569,2024,피자웨이브,외식,피자,20.0,0.42879037504949946,0.7723156696015616,0.42857142857142855,0.9944223107569721,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.42188,[구조] 지역당 평균 점포수,0.25818,[변화] 점포 증가율,0.24727
BRD_20210455,2024,드라이빙존운전면허,서비스,기타 교육,20.0,0.4287880333759372,0.771212787177867,0.42857142857142855,0.9940239043824701,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.56348,[변화] 점포 증가율,0.25229,[구조] 지역당 평균 점포수,0.22694
BRD_20212743,2024,카츠루와,외식,일식,33.0,0.42878569170237496,0.7703551507817404,0.42857142857142855,0.9936254980079682,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.46864,[변화] 점포 증가율,0.24925,[추세] 점포 증가율 평균,0.19578
BRD_20220780,2024,커피다스1리터,외식,커피,10.0,0.4287833500288127,0.7689987657780073,0.42857142857142855,0.9932270916334661,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44783,[구조] 지역당 평균 점포수,0.316,[변화] 점포 증가율,0.29152
BRD_20212956,2024,우대빵,서비스,부동산 중개,22.0,0.4287810083552504,0.768857933237194,0.42857142857142855,0.9928286852589642,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.49578,[변화] 점포 증가율,0.2759,[추세] 면적당매출 평균,0.17036
BRD_20220076,2024,에그플(EGGPLE),도소매,기타도소매,47.0,0.4287786666816882,0.768563166582783,0.42857142857142855,0.9924302788844621,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.52025,[변화] 점포 증가율,0.27803,[수준] 평균매출,0.13483
BRD_20231111,2024,오름순돼국밥,외식,한식,25.0,0.4287763250081259,0.7684913029577188,0.42857142857142855,0.9920318725099602,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40386,[구조] 지역당 평균 점포수,0.24358,[변화] 점포 증가율,0.24105
BRD_20150706,2024,김양비어,외식,주점,5.0,0.4287739833345637,0.7682328954735123,0.42857142857142855,0.9916334661354582,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40836,[구조] 지역당 평균 점포수,0.28859,[변화] 점포 증가율,0.28455
BRD_20211187,2024,파스타를 부탁해,외식,서양식,20.0,0.4287716416610014,0.7681894379236219,0.42857142857142855,0.9912350597609562,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40031,[구조] 지역당 평균 점포수,0.2616,[변화] 점포 증가율,0.25766
BRD_20200878,2024,구삼짜글이,외식,한식,28.0,0.4287692999874391,0.7680639972616349,0.42857142857142855,0.9908366533864542,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40677,[변화] 점포 증가율,0.27047,[구조] 지역당 평균 점포수,0.26133
BRD_20170468,2024,쌀똑핫도그,외식,제과제빵,15.0,0.4287669583138769,0.7678403809747893,0.42857142857142855,0.9904382470119522,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40025,[구조] 지역당 평균 점포수,0.30942,[변화] 점포 증가율,0.29661
BRD_20210023,2024,돈쫄돈,외식,기타 외식,34.0,0.4287646166403146,0.7661460034405908,0.42857142857142855,0.9900398406374502,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.45166,[구조] 지역당 평균 점포수,0.31505,[변화] 점포 증가율,0.2772
NAME:인정국물떡볶이@외식,2024,인정국물떡볶이,외식,기타 외식,8.0,0.4287622749667524,0.7657370017550986,0.42857142857142855,0.9896414342629483,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41004,[변화] 점포 증가율,0.19093,[추세] 면적당매출 평균,0.17404
BRD_20211222,2024,담따프레시,도소매,기타도소매,0.0,0.4287599332931901,0.7656153210242967,0.42857142857142855,0.9892430278884462,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.49863,[변화] 점포 증가율,0.25977,[추세] 점포 증가율 평균,0.19872
BRD_20221216,2024,카레세끼 매운숙성카레,외식,일식,41.0,0.42875759161962784,0.7649437460390838,0.42857142857142855,0.9888446215139443,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.52929,[변화] 점포 증가율,0.23026,[구조] 지역당 평균 점포수,0.17697
BRD_20080200212,2024,세탁을위한사람들,서비스,세탁,8.0,0.4287552499460656,0.7643415520920286,0.42857142857142855,0.9884462151394422,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.48153,[변화] 점포 증가율,0.27704,[추세] 점포 증가율 평균,0.20473
BRD_20210891,2024,가든쿡,외식,서양식,8.0,0.42875290827250334,0.7640383388877202,0.42857142857142855,0.9880478087649402,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.45154,[구조] 지역당 평균 점포수,0.31589,[변화] 점포 증가율,0.30796
BRD_20231025,2024,슬림볶음밥,외식,한식,9.0,0.4287505665989411,0.7636223124504391,0.42857142857142855,0.9876494023904383,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40666,[구조] 지역당 평균 점포수,0.26557,[변화] 점포 증가율,0.24176
BRD_20210892,2024,권사부 마약칼국수,외식,한식,5.0,0.42874822492537884,0.7634146375771815,0.42857142857142855,0.9872509960159362,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.38548,[구조] 지역당 평균 점포수,0.274,[변화] 점포 증가율,0.25707
BRD_20221308,2024,볶음밥잇츄,외식,한식,9.0,0.4287458832518166,0.7623851569262898,0.42857142857142855,0.9868525896414343,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.55887,[변화] 점포 증가율,0.26535,[수준] 평균매출,0.18405
BRD_20150904,2024,꼬마대통령,서비스,유아관련,18.0,0.42874354157825434,0.7622129905503271,0.42857142857142855,0.9864541832669322,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41601,[변화] 점포 증가율,0.30073,[구조] 지역당 평균 점포수,0.25673
BRD_20130232,2024,상상블럭,서비스,유아 관련 (교육 외),13.0,0.42874119990469206,0.7618816431462554,0.42857142857142855,0.9860557768924303,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41846,[변화] 점포 증가율,0.3121,[구조] 지역당 평균 점포수,0.29469
BRD_20220222,2024,찜닭특공대,외식,한식,17.0,0.42873885823112984,0.7610762234320895,0.42857142857142855,0.9856573705179282,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.43491,[업종상대] 실질 매출 증가율 백분위,0.15017,[수준] 평균매출,0.14374
BRD_20211955,2024,삼계탕이요,외식,한식,31.0,0.42873651655756756,0.7609568524190116,0.42857142857142855,0.9852589641434263,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44702,[구조] 지역당 평균 점포수,0.29583,[변화] 점포 증가율,0.25813
BRD_20200484,2024,국대후라이드치킨,외식,치킨,0.0,0.42873417488400534,0.7608275150127694,0.42857142857142855,0.9848605577689243,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.4326,[변화] 점포 증가율,0.2097,[추세] 점포 증가율 평균,0.18155
BRD_20212274,2024,타코아찌 타코야끼전문점,외식,일식,46.0,0.42873183321044306,0.7601429671834583,0.42857142857142855,0.9844621513944223,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.4581,[변화] 점포 증가율,0.25574,[추세] 점포 증가율 평균,0.19447
BRD_20210019,2024,볶찜,외식,한식,28.0,0.4287294915368808,0.7595534722746213,0.42857142857142855,0.9840637450199203,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.46983,[변화] 점포 증가율,0.31039,[구조] 지역당 평균 점포수,0.30539
BRD_20200249,2024,신나게쌈빠찹쌀강정,외식,기타 외식,22.0,0.42872714986331856,0.7590912082067088,0.42857142857142855,0.9836653386454183,건전,0,True,High,FS3,[업종상대] 계약종료 백분위,0.44344,[변화] 점포 증가율,0.24699,[추세] 면적당매출 평균,0.19195
BRD_20201043,2024,꼬치의품격,외식,기타 외식,39.0,0.4287248081897563,0.758298467130133,0.42857142857142855,0.9832669322709163,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41796,[변화] 점포 증가율,0.29039,[구조] 지역당 평균 점포수,0.28303
BRD_20220521,2024,대한마라,외식,중식,0.0,0.42872246651619406,0.7581999773238313,0.42857142857142855,0.9828685258964144,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.5003,[변화] 점포 증가율,0.25762,[추세] 점포 증가율 평균,0.20047
BRD_20150855,2024,김작가의이중생활,외식,주점,0.0,0.4287201248426318,0.7580175858303924,0.42857142857142855,0.9824701195219123,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.41278,[변화] 점포 증가율,0.2698,[추세] 점포 증가율 평균,0.20231
BRD_20215862,2024,포도,도소매,기타도소매,18.0,0.4287177831690695,0.7578268546380383,0.42857142857142855,0.9820717131474104,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.53888,[구조] 지역당 평균 점포수,0.31282,[변화] 점포 증가율,0.28507
BRD_20210454,2024,청담곱떡,외식,기타 외식,48.0,0.4287154414955073,0.7577591562799232,0.42857142857142855,0.9816733067729083,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.52571,[변화] 점포 증가율,0.25531,[수준] 평균매출,0.14545
BRD_20141032,2024,Lamfore(렘포레),서비스,기타 교육,11.0,0.428713099821945,0.7573344635846311,0.42857142857142855,0.9812749003984064,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.42088,[변화] 점포 증가율,0.28561,[구조] 지역당 평균 점포수,0.28536
BRD_20212547,2024,덮밥집이야,외식,한식,34.0,0.4287107581483828,0.7572254792804983,0.42857142857142855,0.9808764940239044,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.61328,[변화] 점포 증가율,0.23359,[구조] 지역당 평균 점포수,0.16805
BRD_20191291,2024,캠핑고래,도소매,기타도소매,34.0,0.4287084164748205,0.7568740625797286,0.42857142857142855,0.9804780876494024,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.33358,[구조] 지역당 평균 점포수,0.25477,[변화] 점포 증가율,0.23047
BRD_20200553,2024,노상치킨,외식,치킨,44.0,0.4287060748012582,0.7564482752480962,0.42857142857142855,0.9800796812749004,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.49179,[추세] 면적당매출 평균,0.22815,[추세] 매출 증가율 평균,0.15898
