brand_id,brand_name,n_stores,grade,누적_점포가중_커버리지
BRD_20080100039,뚜레쥬르,1307.0,FS1,0.3835894397748732
BRD_20080200019,투다리,1292.0,FS1,0.3931573295812197
BRD_20080200106,처갓집양념치킨,1254.0,FS1,0.4024438108638501
BRD_20080500031,이삭토스트,894.0,FS1,0.40906431665864407
BRD_20161159,매머드익스프레스(Mammoth Express),742.0,FS1,0.4145591883585737
BRD_20080600014,호식이두마리치킨,722.0,FS1,0.4199059503091791
BRD_20211891,PC토랑,676.0,FS1,0.42491205983633873
BRD_20110600008,신전떡볶이,671.0,FS1,0.4298811419261673
BRD_20201203,하삼동커피,644.0,FS1,0.43465027585440813
BRD_20201288,밥스토랑,534.0,FS1,0.43860480616136555
BRD_20080100180,또래오래,527.0,FS1,0.44250749805605955
BRD_20080100739,피자마루,498.0,FS1,0.44619543081423335
BRD_20191049,탕화쿵푸마라탕,492.0,FS1,0.4498389306476099
BRD_20161137,명랑시대쌀핫도그,480.0,FS1,0.45339356463139185
BRD_20130100004,봉구스밥버거,473.0,FS1,0.45689636020291036
BRD_20171244,크라운호프보리장인,456.0,FS1,0.4602732624875032
BRD_20080200276,맥시칸치킨,418.0,FS1,0.46336875624838003
BRD_20150189,카페봄봄,414.0,FS1,0.466434628059392
BRD_20180410,일품양평해장국,394.0,FS1,0.4693523901210797
BRD_20220572,카페요아정,372.0,FS2,0.47210723145851075
BRD_20080100201,간이역,349.0,FS1,0.4746917465842189
BRD_20230178,카페만월경,340.0,FS1,0.4772096123227311
BRD_20160311,바다양푼이동태탕찜,334.0,FS1,0.4796830451364461
BRD_20150828,샐러디,333.0,FS1,0.48214907246269484
BRD_20100100603,펀비어킹,327.0,FS1,0.48457066686414635
BRD_20190630,배떡,325.0,FS2,0.48697745029066536
BRD_20120600009,피자스쿨,324.0,FS1,0.48937682822971823
BRD_20191342,우리할매 떡볶이,319.0,FS1,0.49173917873144
BRD_20080100328,죽이야기,318.0,FS2,0.49409412374569556
BRD_20180249,청년피자,312.0,FS1,0.4964046358351539
