section,key,value,n,scope
scope,표본 범위,,0,학습·검증 표본 (실시간 자격 통과)
overall,n_sample,3635.0,3635,학습·검증 표본 (실시간 자격 통과)
overall,positive_rate,0.0921595598349381,335,학습·검증 표본 (실시간 자격 통과)
event_rate,ev_store,0.10591471801925723,385,학습·검증 표본 (실시간 자격 통과)
event_rate,ev_sales,0.1218707015130674,443,학습·검증 표본 (실시간 자격 통과)
event_rate,ev_contract,0.08445667125171939,307,학습·검증 표본 (실시간 자격 통과)
overlap,0_events,0.7653370013755159,2782,학습·검증 표본 (실시간 자격 통과)
overlap,1_events,0.16946354883081155,616,학습·검증 표본 (실시간 자격 통과)
overlap,2_events,0.05281980742778542,192,학습·검증 표본 (실시간 자격 통과)
overlap,3_events,0.012379642365887207,45,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2018,0.08921161825726141,482,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2019,0.0900562851782364,533,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2020,0.09515260323159784,557,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2021,0.07886435331230283,634,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2022,0.11756168359941944,689,학습·검증 표본 (실시간 자격 통과)
year_positive_rate,2023,0.08108108108108109,740,학습·검증 표본 (실시간 자격 통과)
