section,key,value,n,scope
scope,표본 범위,,0,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overall,n_sample,7163.0,7163,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overall,positive_rate,0.11377914281725535,815,라벨 산출 가능 전체 (실시간 자격 필터 이전)
event_rate,ev_store,0.12159709618874773,871,라벨 산출 가능 전체 (실시간 자격 필터 이전)
event_rate,ev_sales,0.1489599329889711,1067,라벨 산출 가능 전체 (실시간 자격 필터 이전)
event_rate,ev_contract,0.10833449671925172,776,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,0_events,0.7202289543487366,5159,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,1_events,0.1962864721485411,1406,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,2_events,0.06784866675973754,486,라벨 산출 가능 전체 (실시간 자격 필터 이전)
overlap,3_events,0.015635906742984783,112,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2017,0.12484237074401008,793,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2018,0.1095890410958904,876,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2019,0.11393805309734513,904,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2020,0.11513859275053305,938,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2021,0.10971223021582734,1112,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2022,0.12582236842105263,1216,라벨 산출 가능 전체 (실시간 자격 필터 이전)
year_positive_rate,2023,0.10120845921450151,1324,라벨 산출 가능 전체 (실시간 자격 필터 이전)
