model,split,lift_at_10,precision_at_10,pr_auc,roc_auc,brier,n,base_rate
persistence,train,1.9124179943767574,0.16818181818181818,0.13281166562870944,0.5700154741653174,0.09845152831341321,2206,0.08794197642792384
single,train,2.584348641049672,0.22727272727272727,0.1732981753948495,0.6348609374679757,0.21916418908802326,2206,0.08794197642792384
logistic,train,2.7394095595126524,0.2409090909090909,0.23345470341230837,0.756745608821299,0.2054208542532723,2206,0.08794197642792384
lgbm,train,9.251968134957826,0.8136363636363636,0.8928767597928867,0.9923551474657212,0.054699783057706855,2206,0.08794197642792384
persistence,valid,1.7512708787218592,0.20588235294117646,0.20563016309682663,0.5463978232618583,0.11535395192260792,689,0.11756168359941944
single,valid,2.626906318082789,0.3088235294117647,0.27462526052724145,0.7061708089668615,0.22269051711877455,689,0.11756168359941944
logistic,valid,3.377450980392157,0.39705882352941174,0.31287225936125435,0.7628127030539311,0.20856556232401313,689,0.11756168359941944
lgbm,valid,3.377450980392157,0.39705882352941174,0.3096461264413002,0.7791382391163093,0.0965747493567621,689,0.11756168359941944
persistence,test,1.5,0.12162162162162163,0.11558358905727772,0.5451470588235294,0.09633092546623906,740,0.08108108108108109
single,test,2.1666666666666665,0.17567567567567569,0.1405634981083344,0.6366789215686275,0.23189198793669294,740,0.08108108108108109
logistic,test,1.8333333333333333,0.14864864864864866,0.16155456940066815,0.7262254901960785,0.1948850788578142,740,0.08108108108108109
lgbm,test,2.6666666666666665,0.21621621621621623,0.1705191835365865,0.7230637254901962,0.08089356495809846,740,0.08108108108108109
lgbm_calibrated,train,9.251968134957826,0.8136363636363636,0.8928767597928866,0.9923551474657212,0.0411505069349627,2206,0.08794197642792384
lgbm_calibrated,valid,3.377450980392157,0.39705882352941174,0.3096461264413002,0.7791382391163093,0.08842576097662785,689,0.11756168359941944
lgbm_calibrated,test,2.6666666666666665,0.21621621621621623,0.1705191835365865,0.7230637254901962,0.07495670478360913,740,0.08108108108108109
persistence_calibrated,train,1.9124179943767574,0.16818181818181818,0.13280961422460302,0.5700129122174171,0.08339546395175307,2206,0.08794197642792384
persistence_calibrated,valid,1.7512708787218592,0.20588235294117646,0.20563016309682663,0.5463978232618584,0.09728639038531547,689,0.11756168359941944
persistence_calibrated,test,1.5,0.12162162162162163,0.11558358905727772,0.5451470588235294,0.07764571124701607,740,0.08108108108108109
single_calibrated,train,2.584348641049672,0.22727272727272727,0.17413731455808013,0.6349070525301796,0.07946612419358214,2206,0.08794197642792384
single_calibrated,valid,2.626906318082789,0.3088235294117647,0.2758791070805294,0.7063434048083171,0.0928964295648014,689,0.11756168359941944
single_calibrated,test,2.1666666666666665,0.17567567567567569,0.14105772720386484,0.6370098039215687,0.0779081657029324,740,0.08108108108108109
logistic_calibrated,train,2.7394095595126524,0.2409090909090909,0.23345470341230837,0.756745608821299,0.07759136596547316,2206,0.08794197642792384
logistic_calibrated,valid,3.377450980392157,0.39705882352941174,0.31287225936125435,0.7628127030539311,0.08938342511488498,689,0.11756168359941944
logistic_calibrated,test,1.8333333333333333,0.14864864864864866,0.16155456940066815,0.7262254901960785,0.07981479647987905,740,0.08108108108108109
