brand_id,year,brand_name,industry_major,industry_mid,n_stores,deterioration_1y,score_raw,deterioration_step,deterioration_rank_pct,brand_state,n_events_at_t,in_model_population,grade,risk_grade,grade_band,factor1,factor1_shap,factor2,factor2_shap,factor3,factor3_shap
BRD_20220035,2024,제비파스타&리조또,외식,서양식,41.0,0.35570530763847774,0.5204475941025452,0.32679523066157073,1.0,요주의,2,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.50097,[구조] 지역당 평균 점포수,0.26241,[변화] 계약종료율,0.1176
BRD_20190835,2024,에그셀런트,외식,패스트푸드,21.0,0.3554147541010214,0.5117583864333447,0.32679523066157073,0.9993065187239945,요주의,2,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.49111,[구조] 지역당 평균 점포수,0.23731,[수준] 평균매출,0.19694
BRD_20211154,2024,죽도령,외식,한식,54.0,0.3551242005635651,0.510698991863262,0.32679523066157073,0.9986130374479889,요주의,2,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.44583,[구조] 지역당 평균 점포수,0.18658,[수준] 평균매출,0.12484
BRD_20211998,2024,연돈튀김덮밥,외식,분식,31.0,0.3548336470261087,0.48814538315948386,0.32679523066157073,0.9979195561719834,요주의,1,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.55098,[구조] 지역당 평균 점포수,0.31766,[변화] 계약종료율,0.2193
BRD_20180037,2024,피슈 마라홍탕,외식,중식,28.0,0.35454309348865237,0.48593745544266664,0.32679523066157073,0.9972260748959778,요주의,1,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.45067,[구조] 지역당 평균 점포수,0.33059,[업종상대] 점포 증가율 백분위,0.20344
BRD_20211652,2024,윤반장,외식,한식,27.0,0.354252539951196,0.484851903490899,0.32679523066157073,0.9965325936199723,요주의,2,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.58618,[구조] 지역당 평균 점포수,0.33639,[수준] 가맹점 수,0.10804
BRD_20220332,2024,고래맥주창고,외식,주점,87.0,0.35396198641373966,0.48445711388439483,0.32679523066157073,0.9958391123439667,건전,0,True,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.60801,[구조] 지역당 평균 점포수,0.16583,[변화] 계약종료율,0.14924
BRD_20211147,2024,국밥대장,외식,한식,23.0,0.35367143287628333,0.48287611961620586,0.32679523066157073,0.9951456310679612,요주의,3,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.33693,[구조] 지역당 평균 점포수,0.30144,[변화] 계약종료율,0.12757
BRD_20211100,2024,유캔두잇,외식,기타 외식,57.0,0.35338087933882695,0.4801635545737872,0.32679523066157073,0.9944521497919556,요주의,2,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.52693,[구조] 지역당 평균 점포수,0.20891,[수준] 평균매출,0.20375
BRD_20213039,2024,풍덕천 두꺼비집,외식,주점,27.0,0.3530903258013706,0.4792770024152127,0.32679523066157073,0.9937586685159501,건전,0,True,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.40314,[구조] 지역당 평균 점포수,0.20828,[변화] 계약종료율,0.13372
BRD_20210926,2024,시카고부대찌개,외식,한식,37.0,0.35279977226391424,0.4784483338350084,0.32679523066157073,0.9930651872399445,요주의,1,False,FS3,High,16.0% 이상,[업종상대] 계약종료 백분위,0.32829,[구조] 지역당 평균 점포수,0.30666,[변화] 계약종료율,0.10842
